event	time	node	configname	repetition	platoon_size
679657	265.331167871059	Highway.node[18].appl	SimpleHighNumberCACC	2	7.5357449980474
679861	265.331448967666	Highway.node[16].appl	SimpleHighNumberCACC	2	5.3260276621686e-321
685074	266.113322651995	Highway.node[29].appl	SimpleHighNumberCACC	2	5.2819562868909
685245	266.113590718343	Highway.node[28].appl	SimpleHighNumberCACC	2	6.4030907701026e-321
6857071	835.10192136216	Highway.node[98].appl	SimpleHighNumberCACC	2	8.8674689432595
6857235	835.102202458547	Highway.node[96].appl	SimpleHighNumberCACC	2	2.7257601681062e-320
6992788	843.282037362863	Highway.node[109].appl	SimpleHighNumberCACC	2	5.2332149575033
6992961	843.28226642932	Highway.node[108].appl	SimpleHighNumberCACC	2	2.8556994329624e-320
7190840	855.286536510998	Highway.node[111].appl	SimpleHighNumberCACC	2	5.1639066285218
7191009	855.286791577547	Highway.node[110].appl	SimpleHighNumberCACC	2	2.9214101638593e-320
7247070	858.609137392447	Highway.node[84].appl	SimpleHighNumberCACC	2	4.6257263921365
7247292	858.609379549147	Highway.node[80].appl	SimpleHighNumberCACC	2	3.0385037219237e-320
742762	276.514442977079	Highway.node[31].appl	SimpleHighNumberCACC	2	5.2595467477435
742925	276.514711043624	Highway.node[30].appl	SimpleHighNumberCACC	2	6.9218596982359e-321
7470505	871.858441627074	Highway.node[102].appl	SimpleHighNumberCACC	2	7.3641071262912
7470709	871.858683723659	Highway.node[100].appl	SimpleHighNumberCACC	2	2.8423596605247e-320
7549313	876.433188103211	Highway.node[113].appl	SimpleHighNumberCACC	2	5.5399281440505
7549482	876.433469169872	Highway.node[112].appl	SimpleHighNumberCACC	2	2.9584650872974e-320
7852946	894.168770757253	Highway.node[115].appl	SimpleHighNumberCACC	2	5.6721514545576
7853119	894.168999823792	Highway.node[114].appl	SimpleHighNumberCACC	2	3.0073775862357e-320
7915225	897.692450222537	Highway.node[117].appl	SimpleHighNumberCACC	2	5.0618419011521
7915386	897.692718289226	Highway.node[116].appl	SimpleHighNumberCACC	2	3.0923568773204e-320
8057443	905.715147817858	Highway.node[90].appl	SimpleHighNumberCACC	2	3.2257488171469
8057579	905.715415914062	Highway.node[88].appl	SimpleHighNumberCACC	2	2.1714185134723e-320
8122481	909.284475530823	Highway.node[106].appl	SimpleHighNumberCACC	2	6.5541314724591
8122673	909.284704627313	Highway.node[104].appl	SimpleHighNumberCACC	2	2.8808967809003e-320
8211247	914.197227257405	Highway.node[119].appl	SimpleHighNumberCACC	2	5.299792304596
8211408	914.197534323703	Highway.node[118].appl	SimpleHighNumberCACC	2	3.1318821289877e-320
8300368	919.13487777444	Highway.node[96].appl	SimpleHighNumberCACC	2	10.108239069707
8300526	919.135171930932	Highway.node[92].appl	SimpleHighNumberCACC	2	2.8991772097964e-320
830769	292.008413567473	Highway.node[33].appl	SimpleHighNumberCACC	2	5.3741509857799
830940	292.008681634092	Highway.node[32].appl	SimpleHighNumberCACC	2	7.3714594359514e-321
8450807	927.351786178539	Highway.node[121].appl	SimpleHighNumberCACC	2	5.3946364006682
8450968	927.352002245016	Highway.node[120].appl	SimpleHighNumberCACC	2	3.1921581377803e-320
84996	99.974616284722	Highway.node[7].appl	SimpleHighNumberCACC	2	5.2003056646064
